run,timestamp_ms,target_rpm,measured_rpm,error_rpm,PI_output,pwm_duty,motor_current,encoder_count,state,fault_flags
1,0,100.0,0.0,100.0,65.0,65.0,0.78,14,3,0
1,10,100.0,56.15,43.85,43.5,43.5,0.495,38,3,0
1,20,100.0,96.26,3.74,24.01,24.01,0.242,68,3,0
1,30,100.0,120.32,-20.32,8.93,8.93,0.052,98,3,0
1,40,100.0,120.32,-20.32,5.88,5.88,0.014,127,3,0
1,50,100.0,116.31,-16.31,5.44,5.44,0.009,156,3,0
1,60,100.0,116.31,-16.31,2.99,2.99,-0.019,185,3,0
1,70,100.0,116.31,-16.31,0.55,0.55,-0.047,211,3,0
1,80,100.0,104.28,-4.28,5.92,5.92,0.021,238,3,0
1,90,100.0,108.29,-8.29,2.67,2.67,-0.018,263,3,0
1,100,100.0,100.27,-0.27,6.64,6.64,0.031,289,3,0
1,110,100.0,104.28,-4.28,4.0,4.0,-0.001,314,3,0
1,120,100.0,100.27,-0.27,5.96,5.96,0.024,340,3,0
1,130,100.0,104.28,-4.28,3.32,3.32,-0.008,364,3,0
1,140,100.0,96.26,3.74,7.89,7.89,0.048,389,3,0
1,150,100.0,100.27,-0.27,5.84,5.84,0.023,414,3,0
1,160,100.0,100.27,-0.27,5.8,5.8,0.022,439,3,0
1,170,100.0,100.27,-0.27,5.76,5.76,0.022,464,3,0
1,180,100.0,100.27,-0.27,5.72,5.72,0.021,489,3,0
1,190,100.0,100.27,-0.27,5.68,5.68,0.021,514,3,0
1,200,100.0,100.27,-0.27,5.64,5.64,0.021,539,3,0
1,210,100.0,100.27,-0.27,5.6,5.6,0.02,564,3,0
1,220,100.0,100.27,-0.27,5.56,5.56,0.02,589,3,0
1,230,100.0,100.27,-0.27,5.52,5.52,0.019,614,3,0
1,240,100.0,100.27,-0.27,5.48,5.48,0.019,638,3,0
1,250,100.0,96.26,3.74,8.05,8.05,0.05,663,3,0
1,260,100.0,100.27,-0.27,6.0,6.0,0.024,688,3,0
1,270,100.0,100.27,-0.27,5.96,5.96,0.024,714,3,0
1,280,100.0,104.28,-4.28,3.32,3.32,-0.008,738,3,0
1,290,100.0,96.26,3.74,7.89,7.89,0.048,763,3,0
1,300,100.0,100.27,-0.27,5.84,5.84,0.023,788,3,0
1,310,100.0,100.27,-0.27,5.8,5.8,0.022,813,3,0
1,320,100.0,100.27,-0.27,5.76,5.76,0.022,838,3,0
1,330,100.0,100.27,-0.27,5.72,5.72,0.021,863,3,0
1,340,100.0,100.27,-0.27,5.68,5.68,0.021,888,3,0
1,350,100.0,100.27,-0.27,5.64,5.64,0.021,913,3,0
1,360,100.0,100.27,-0.27,5.6,5.6,0.02,938,3,0
1,370,100.0,100.27,-0.27,5.56,5.56,0.02,963,3,0
1,380,100.0,100.27,-0.27,5.52,5.52,0.02,987,3,0
1,390,100.0,96.26,3.74,8.09,8.09,0.05,1012,3,0
1,400,100.0,100.27,-0.27,6.04,6.04,0.025,1038,3,0
1,410,100.0,104.28,-4.28,3.4,3.4,-0.007,1062,3,0
1,420,100.0,96.26,3.74,7.97,7.97,0.049,1087,3,0
1,430,100.0,100.27,-0.27,5.92,5.92,0.024,1113,3,0
1,440,100.0,104.28,-4.28,3.28,3.28,-0.008,1137,3,0
1,450,100.0,96.26,3.74,7.85,7.85,0.048,1162,3,0
1,460,100.0,100.27,-0.27,5.8,5.8,0.022,1187,3,0
1,470,100.0,100.27,-0.27,5.76,5.76,0.022,1212,3,0
1,480,100.0,100.27,-0.27,5.72,5.72,0.021,1237,3,0
1,490,100.0,100.27,-0.27,5.68,5.68,0.021,1262,3,0
1,500,100.0,100.27,-0.27,5.64,5.64,0.021,1287,3,0
1,510,100.0,100.27,-0.27,5.6,5.6,0.02,1312,3,0
1,520,100.0,100.27,-0.27,5.56,5.56,0.02,1336,3,0
1,530,100.0,96.26,3.74,8.13,8.13,0.051,1362,3,0
1,540,100.0,104.28,-4.28,3.48,3.48,-0.006,1386,3,0
1,550,100.0,96.26,3.74,8.05,8.05,0.05,1411,3,0
1,560,100.0,100.27,-0.27,6.0,6.0,0.024,1437,3,0
1,570,100.0,104.28,-4.28,3.36,3.36,-0.007,1461,3,0
1,580,100.0,96.26,3.74,7.93,7.93,0.049,1486,3,0
1,590,100.0,100.27,-0.27,5.88,5.88,0.023,1512,3,0
1,600,100.0,104.28,-4.28,3.24,3.24,-0.009,1536,3,0
1,610,100.0,96.26,3.74,7.81,7.81,0.047,1561,3,0
1,620,100.0,100.27,-0.27,5.76,5.76,0.022,1586,3,0
1,630,100.0,100.27,-0.27,5.72,5.72,0.022,1611,3,0
1,640,100.0,100.27,-0.27,5.68,5.68,0.021,1636,3,0
1,650,100.0,100.27,-0.27,5.64,5.64,0.021,1660,3,0
1,660,100.0,96.26,3.74,8.21,8.21,0.052,1686,3,0
1,670,100.0,104.28,-4.28,3.56,3.56,-0.005,1711,3,0
1,680,100.0,100.27,-0.27,5.52,5.52,0.019,1735,3,0
1,690,100.0,96.26,3.74,8.09,8.09,0.05,1761,3,0
1,700,100.0,104.28,-4.28,3.44,3.44,-0.007,1785,3,0
1,710,100.0,96.26,3.74,8.01,8.01,0.05,1811,3,0
1,720,100.0,104.28,-4.28,3.36,3.36,-0.007,1835,3,0
1,730,100.0,96.26,3.74,7.93,7.93,0.049,1860,3,0
1,740,100.0,100.27,-0.27,5.88,5.88,0.023,1885,3,0
1,750,100.0,100.27,-0.27,5.84,5.84,0.023,1910,3,0
1,760,100.0,100.27,-0.27,5.8,5.8,0.022,1935,3,0
1,770,100.0,100.27,-0.27,5.76,5.76,0.022,1960,3,0
