run,timestamp_ms,target_rpm,raw_rpm,filtered_rpm,error_rpm,pi_output,pwm_duty,motor_current,encoder_count,state,fault_flags
,0,150.0,0.0,0.0,150.0,97.5,97.5,1.17,0,3,0
,10,150.0,88.24,44.12,105.88,62.65,62.65,0.709,22,3,0
,20,150.0,152.41,80.21,69.79,30.2,30.2,0.292,60,3,0
,30,150.0,172.46,137.7,12.3,16.8,16.8,0.121,103,3,0
,40,150.0,176.47,167.11,-17.11,10.83,10.83,0.046,147,3,0
,50,150.0,180.48,176.47,-26.47,4.25,4.25,-0.034,192,3,0
,60,150.0,172.46,176.47,-26.47,4.89,4.89,-0.023,235,3,0
,70,150.0,168.45,173.8,-23.8,4.13,4.13,-0.029,277,3,0
,80,150.0,160.43,167.11,-17.11,6.58,6.58,0.003,317,3,0
,90,150.0,160.43,163.1,-13.1,5.01,5.01,-0.015,357,3,0
,100,150.0,152.41,157.75,-7.75,8.66,8.66,0.031,395,3,0
,110,150.0,156.42,156.42,-6.42,5.7,5.7,-0.004,434,3,0
,120,150.0,148.4,152.41,-2.41,9.95,9.95,0.048,471,3,0
,130,150.0,152.41,152.41,-2.41,7.58,7.58,0.02,509,3,0
,140,150.0,148.4,149.73,0.27,9.83,9.83,0.047,546,3,0
,150,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,584,3,0
,160,150.0,148.4,149.73,0.27,9.71,9.71,0.046,621,3,0
,170,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,659,3,0
,180,150.0,148.4,149.73,0.27,9.59,9.59,0.045,696,3,0
,190,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,734,3,0
,200,150.0,148.4,149.73,0.27,9.47,9.47,0.044,771,3,0
,210,150.0,148.4,149.73,0.27,9.71,9.71,0.046,808,3,0
,220,150.0,148.4,148.4,1.6,9.95,9.95,0.049,845,3,0
,230,150.0,152.41,149.73,0.27,7.58,7.58,0.02,883,3,0
,240,150.0,148.4,149.73,0.27,9.83,9.83,0.047,920,3,0
,250,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,958,3,0
,260,150.0,148.4,149.73,0.27,9.71,9.71,0.046,995,3,0
,270,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,1033,3,0
,280,150.0,148.4,149.73,0.27,9.59,9.59,0.045,1070,3,0
,290,150.0,148.4,149.73,0.27,9.83,9.83,0.047,1107,3,0
,300,150.0,152.41,149.73,0.27,7.46,7.46,0.018,1145,3,0
,310,150.0,148.4,149.73,0.27,9.71,9.71,0.046,1182,3,0
,320,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,1220,3,0
,330,150.0,148.4,149.73,0.27,9.59,9.59,0.045,1257,3,0
,340,150.0,148.4,149.73,0.27,9.83,9.83,0.047,1294,3,0
,350,150.0,152.41,149.73,0.27,7.46,7.46,0.018,1332,3,0
