timestamp_ms,target_rpm,raw_encoder_count,raw_speed,filtered_speed,pwm_duty,current,system_state,fault_flags,run_id
0,200.0,0,0.0,0.0,100.0,1.2,3,0,1
10,200.0,23,92.25,46.12,70.04,0.796,3,0,1
20,200.0,63,160.43,84.22,41.89,0.427,3,0,1
30,200.0,111,192.51,148.4,26.97,0.232,3,0,1
40,200.0,163,208.56,187.17,17.66,0.113,3,0,1
50,200.0,217,216.58,205.88,11.16,0.033,3,0,1
60,200.0,270,212.57,212.57,11.28,0.035,3,0,1
70,200.0,323,212.57,213.9,9.4,0.013,3,0,1
80,200.0,375,208.56,211.23,10.12,0.023,3,0,1
90,200.0,427,208.56,209.89,8.84,0.008,3,0,1
100,200.0,478,204.55,207.22,10.16,0.026,3,0,1
110,200.0,528,200.53,204.55,12.09,0.05,3,0,1
120,200.0,579,204.55,203.21,9.4,0.018,3,0,1
130,200.0,628,196.52,200.53,13.93,0.073,3,0,1
140,200.0,679,204.55,201.87,9.24,0.016,3,0,1
150,200.0,728,196.52,199.2,13.77,0.071,3,0,1
160,200.0,779,204.55,201.87,9.08,0.014,3,0,1
170,200.0,828,196.52,199.2,13.61,0.07,3,0,1
180,200.0,878,200.53,200.53,11.52,0.044,3,0,1
190,200.0,928,200.53,199.2,11.44,0.043,3,0,1
200,200.0,978,200.53,200.53,11.36,0.042,3,0,1
210,200.0,1028,200.53,200.53,11.28,0.041,3,0,1
220,200.0,1077,196.52,199.2,13.81,0.072,3,0,1
230,200.0,1127,200.53,199.2,11.72,0.046,3,0,1
240,200.0,1178,204.55,200.53,9.04,0.014,3,0,1
250,200.0,1227,196.52,200.53,13.57,0.069,3,0,1
260,200.0,1277,200.53,200.53,11.48,0.043,3,0,1
270,200.0,1327,200.53,199.2,11.4,0.043,3,0,1
280,200.0,1377,200.53,200.53,11.32,0.042,3,0,1
290,200.0,1426,196.52,199.2,13.85,0.072,3,0,1
300,200.0,1477,204.55,200.53,9.16,0.015,3,0,1
310,200.0,1526,196.52,199.2,13.69,0.071,3,0,1
320,200.0,1576,200.53,200.53,11.6,0.045,3,0,1
330,200.0,1626,200.53,199.2,11.52,0.044,3,0,1
340,200.0,1676,200.53,200.53,11.44,0.043,3,0,1
350,200.0,1726,200.53,200.53,11.36,0.042,3,0,1
360,200.0,1776,200.53,200.53,11.28,0.041,3,0,1
370,200.0,1826,200.53,200.53,11.2,0.041,3,0,1
380,200.0,1875,196.52,199.2,13.73,0.071,3,0,1
390,200.0,1925,200.53,199.2,11.64,0.045,3,0,1
400,200.0,1976,204.55,200.53,8.96,0.013,3,0,1
410,200.0,2025,196.52,200.53,13.49,0.069,3,0,1
420,200.0,2075,200.53,200.53,11.4,0.043,3,0,1
430,200.0,2124,196.52,197.86,13.93,0.073,3,0,1
440,200.0,2175,204.55,200.53,9.24,0.016,3,0,1
450,200.0,2224,196.52,199.2,13.77,0.071,3,0,1
460,200.0,2275,204.55,201.87,9.08,0.014,3,0,1
470,200.0,2324,196.52,199.2,13.61,0.07,3,0,1
480,200.0,2374,200.53,200.53,11.52,0.044,3,0,1
490,200.0,2424,200.53,199.2,11.44,0.043,3,0,1
500,200.0,2474,200.53,200.53,11.36,0.042,3,0,1
510,200.0,2524,200.53,200.53,11.28,0.041,3,0,1
520,200.0,2573,196.52,199.2,13.81,0.072,3,0,1
530,200.0,2623,200.53,199.2,11.72,0.046,3,0,1
540,200.0,2674,204.55,200.53,9.04,0.014,3,0,1
550,200.0,2723,196.52,200.53,13.57,0.069,3,0,1
560,200.0,2773,200.53,200.53,11.48,0.043,3,0,1
570,200.0,2823,200.53,199.2,11.4,0.043,3,0,1
580,200.0,2873,200.53,200.53,11.32,0.042,3,0,1
590,200.0,2922,196.52,199.2,13.85,0.072,3,0,1
600,200.0,2973,204.55,200.53,9.16,0.015,3,0,1
610,200.0,3022,196.52,199.2,13.69,0.071,3,0,1
620,200.0,3072,200.53,200.53,11.6,0.045,3,0,1
630,200.0,3122,200.53,199.2,11.52,0.044,3,0,1
640,200.0,3172,200.53,200.53,11.44,0.043,3,0,1
650,200.0,3222,200.53,200.53,11.36,0.042,3,0,1
660,200.0,3272,200.53,200.53,11.28,0.041,3,0,1
670,200.0,3322,200.53,200.53,11.2,0.041,3,0,1
680,200.0,3371,196.52,199.2,13.73,0.071,3,0,1
690,200.0,3421,200.53,199.2,11.64,0.045,3,0,1
700,200.0,3471,200.53,199.2,11.56,0.044,3,0,1
710,200.0,3521,200.53,200.53,11.48,0.043,3,0,1
720,200.0,3571,200.53,200.53,11.4,0.042,3,0,1
730,200.0,3621,200.53,200.53,11.32,0.042,3,0,1
740,200.0,3671,200.53,200.53,11.24,0.041,3,0,1
750,200.0,3721,200.53,200.53,11.16,0.04,3,0,1
760,200.0,3770,196.52,199.2,13.69,0.071,3,0,1
770,200.0,3820,200.53,199.2,11.6,0.045,3,0,1
780,200.0,3870,200.53,199.2,11.52,0.044,3,0,1
790,200.0,3920,200.53,200.53,11.44,0.043,3,0,1
800,200.0,3970,200.53,200.53,11.36,0.042,3,0,1
810,200.0,4020,200.53,200.53,11.28,0.041,3,0,1
820,200.0,4069,196.52,199.2,13.81,0.072,3,0,1
830,200.0,4119,200.53,199.2,11.72,0.046,3,0,1
840,200.0,4170,204.55,200.53,9.04,0.014,3,0,1
850,200.0,4219,196.52,200.53,13.57,0.069,3,0,1
860,200.0,4269,200.53,200.53,11.48,0.043,3,0,1
870,200.0,4319,200.53,199.2,11.4,0.043,3,0,1
880,200.0,4369,200.53,200.53,11.32,0.042,3,0,1
890,200.0,4418,196.52,199.2,13.85,0.072,3,0,1
900,200.0,4469,204.55,200.53,9.16,0.015,3,0,1
910,200.0,4518,196.52,199.2,13.69,0.071,3,0,1
920,200.0,4568,200.53,200.53,11.6,0.045,3,0,1
930,200.0,4618,200.53,199.2,11.52,0.044,3,0,1
940,200.0,4668,200.53,200.53,11.44,0.043,3,0,1
950,200.0,4718,200.53,200.53,11.36,0.042,3,0,1
960,200.0,4768,200.53,200.53,11.28,0.041,3,0,1
970,200.0,4818,200.53,200.53,11.2,0.041,3,0,1
980,200.0,4867,196.52,199.2,13.73,0.071,3,0,1
990,200.0,4917,200.53,199.2,11.64,0.045,3,0,1
1000,200.0,4967,200.53,199.2,11.56,0.044,3,0,1
1010,200.0,5017,200.53,200.53,11.48,0.043,3,0,1
1020,200.0,5067,200.53,200.53,11.4,0.042,3,0,1
1030,200.0,5117,200.53,200.53,11.32,0.042,3,0,1
1040,200.0,5167,200.53,200.53,11.24,0.041,3,0,1
1050,200.0,5216,196.52,199.2,13.77,0.071,3,0,1
1060,200.0,5267,204.55,200.53,9.08,0.014,3,0,1
1070,200.0,5316,196.52,199.2,13.61,0.07,3,0,1
1080,200.0,5366,200.53,200.53,11.52,0.044,3,0,1
1090,200.0,5416,200.53,199.2,11.44,0.043,3,0,1
1100,200.0,5466,200.53,200.53,11.36,0.042,3,0,1
1110,200.0,5516,200.53,200.53,11.28,0.041,3,0,1
1120,200.0,5565,196.52,199.2,13.81,0.072,3,0,1
1130,200.0,5615,200.53,199.2,11.72,0.046,3,0,1
1140,200.0,5665,200.53,199.2,11.64,0.045,3,0,1
1150,200.0,5716,204.55,201.87,8.96,0.013,3,0,1
1160,200.0,5765,196.52,200.53,13.49,0.069,3,0,1
1170,200.0,5815,200.53,200.53,11.4,0.043,3,0,1
1180,200.0,5865,200.53,199.2,11.32,0.042,3,0,1
1190,200.0,5914,196.52,199.2,13.85,0.072,3,0,1
1200,200.0,5965,204.55,200.53,9.16,0.015,3,0,1
1210,200.0,6014,196.52,199.2,13.69,0.071,3,0,1
1220,200.0,6064,200.53,200.53,11.6,0.045,3,0,1
1230,200.0,6114,200.53,199.2,11.52,0.044,3,0,1
1240,200.0,6164,200.53,200.53,11.44,0.043,3,0,1
1250,200.0,6214,200.53,200.53,11.36,0.042,3,0,1
1260,200.0,6264,200.53,200.53,11.28,0.041,3,0,1
1270,200.0,6314,200.53,200.53,11.2,0.041,3,0,1
1280,200.0,6363,196.52,199.2,13.73,0.071,3,0,1
1290,200.0,6413,200.53,199.2,11.64,0.045,3,0,1
1300,200.0,6463,200.53,199.2,11.56,0.044,3,0,1
1310,200.0,6513,200.53,200.53,11.48,0.043,3,0,1
1320,200.0,6563,200.53,200.53,11.4,0.042,3,0,1
1330,200.0,6613,200.53,200.53,11.32,0.042,3,0,1
1340,200.0,6663,200.53,200.53,11.24,0.041,3,0,1
1350,200.0,6712,196.52,199.2,13.77,0.071,3,0,1
1360,200.0,6763,204.55,200.53,9.08,0.014,3,0,1
1370,200.0,6812,196.52,199.2,13.61,0.07,3,0,1
1380,200.0,6862,200.53,200.53,11.52,0.044,3,0,1
1390,200.0,6912,200.53,199.2,11.44,0.043,3,0,1
1400,200.0,6962,200.53,200.53,11.36,0.042,3,0,1
1410,200.0,7011,196.52,199.2,13.89,0.073,3,0,1
1420,200.0,7062,204.55,200.53,9.2,0.015,3,0,1
1430,200.0,7111,196.52,199.2,13.73,0.071,3,0,1
1440,200.0,7161,200.53,200.53,11.64,0.045,3,0,1
1450,200.0,7212,204.55,200.53,8.96,0.013,3,0,1
1460,200.0,7261,196.52,200.53,13.49,0.069,3,0,1
1470,200.0,7311,200.53,200.53,11.4,0.043,3,0,1
1480,200.0,7361,200.53,199.2,11.32,0.042,3,0,1
1490,200.0,7410,196.52,199.2,13.85,0.072,3,0,1
1500,200.0,7460,200.53,199.2,11.76,0.046,3,0,1
1510,200.0,7511,204.55,200.53,9.08,0.014,3,0,1
1520,200.0,7560,196.52,200.53,13.61,0.07,3,0,1
1530,200.0,7610,200.53,200.53,11.52,0.044,3,0,1
1540,200.0,7660,200.53,199.2,11.44,0.043,3,0,1
1550,200.0,7710,200.53,200.53,11.36,0.042,3,0,1
1560,200.0,7760,200.53,200.53,11.28,0.041,3,0,1
1570,200.0,7810,200.53,200.53,11.2,0.041,3,0,1
1580,200.0,7859,196.52,199.2,13.73,0.071,3,0,1
1590,200.0,7909,200.53,199.2,11.64,0.045,3,0,1
1600,200.0,7959,200.53,199.2,11.56,0.044,3,0,1
1610,200.0,8009,200.53,200.53,11.48,0.043,3,0,1
1620,200.0,8059,200.53,200.53,11.4,0.042,3,0,1
1630,200.0,8109,200.53,200.53,11.32,0.042,3,0,1
1640,200.0,8159,200.53,200.53,11.24,0.041,3,0,1
1650,200.0,8208,196.52,199.2,13.77,0.071,3,0,1
1660,200.0,8258,200.53,199.2,11.68,0.045,3,0,1
1670,200.0,8309,204.55,200.53,9.0,0.013,3,0,1
1680,200.0,8358,196.52,200.53,13.53,0.069,3,0,1
1690,200.0,8408,200.53,200.53,11.44,0.043,3,0,1
1700,200.0,8458,200.53,199.2,11.36,0.042,3,0,1
1710,200.0,8507,196.52,199.2,13.89,0.073,3,0,1
1720,200.0,8558,204.55,200.53,9.2,0.015,3,0,1
1730,200.0,8607,196.52,199.2,13.73,0.071,3,0,1
1740,200.0,8657,200.53,200.53,11.64,0.045,3,0,1
1750,200.0,8708,204.55,200.53,8.96,0.013,3,0,1
1760,200.0,8757,196.52,200.53,13.49,0.069,3,0,1
