timestamp_ms,target_rpm,raw_encoder_count,raw_speed,filtered_speed,error_rpm,pi_output,pwm_duty,current,system_state,fault_flags,disturbance_active,applied_force_n,torque_nm,run_id
0,150.0,0,0.0,0.0,150.0,97.5,97.5,1.17,3,0,0,0.0,0.0,1
10,150.0,22,88.24,44.12,105.88,62.65,62.65,0.709,3,0,0,0.0,0.0,1
20,150.0,60,152.41,80.21,69.79,30.2,30.2,0.292,3,0,0,0.0,0.0,1
30,150.0,103,172.46,137.7,12.3,16.8,16.8,0.121,3,0,0,0.0,0.0,1
40,150.0,147,176.47,167.11,-17.11,10.83,10.83,0.046,3,0,0,0.0,0.0,1
50,150.0,192,180.48,176.47,-26.47,4.25,4.25,-0.034,3,0,0,0.0,0.0,1
60,150.0,235,172.46,176.47,-26.47,4.89,4.89,-0.023,3,0,0,0.0,0.0,1
70,150.0,277,168.45,173.8,-23.8,4.13,4.13,-0.029,3,0,0,0.0,0.0,1
80,150.0,317,160.43,167.11,-17.11,6.58,6.58,0.003,3,0,0,0.0,0.0,1
90,150.0,357,160.43,163.1,-13.1,5.01,5.01,-0.015,3,0,0,0.0,0.0,1
100,150.0,395,152.41,157.75,-7.75,8.66,8.66,0.031,3,0,0,0.0,0.0,1
110,150.0,434,156.42,156.42,-6.42,5.7,5.7,-0.004,3,0,0,0.0,0.0,1
120,150.0,471,148.4,152.41,-2.41,9.95,9.95,0.048,3,0,0,0.0,0.0,1
130,150.0,509,152.41,152.41,-2.41,7.58,7.58,0.02,3,0,0,0.0,0.0,1
140,150.0,546,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
150,150.0,584,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
160,150.0,621,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
170,150.0,659,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
180,150.0,696,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
190,150.0,734,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
200,150.0,771,148.4,149.73,0.27,9.47,9.47,0.044,3,0,0,0.0,0.0,1
210,150.0,808,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
220,150.0,845,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
230,150.0,883,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
240,150.0,920,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
250,150.0,958,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
260,150.0,995,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
270,150.0,1033,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
280,150.0,1070,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
290,150.0,1107,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
300,150.0,1145,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
310,150.0,1182,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
320,150.0,1220,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
330,150.0,1257,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
340,150.0,1294,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
