test_id,timestamp_ms,target_rpm,measured_rpm,pwm_command,pwm_output,current,fault_flags,system_state,driver_enable,encoder_count,event_time_ms,detection_time_ms,recovery_result
TEST1_ESTOP,0,150.0,0.0,97.5,97.5,1.17,0,3,1,0,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,10,150.0,44.12,62.65,62.65,0.709,0,3,1,22,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,20,150.0,80.21,30.2,30.2,0.292,0,3,1,60,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,30,150.0,137.7,16.8,16.8,0.121,0,3,1,103,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,40,150.0,167.11,10.83,10.83,0.046,0,3,1,147,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,50,150.0,176.47,4.25,4.25,-0.034,0,3,1,192,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,60,150.0,176.47,4.89,4.89,-0.023,0,3,1,235,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,70,150.0,173.8,4.13,4.13,-0.029,0,3,1,277,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,80,150.0,167.11,6.58,6.58,0.003,0,3,1,317,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,90,150.0,163.1,5.01,5.01,-0.015,0,3,1,357,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,100,150.0,157.75,8.66,8.66,0.031,0,3,1,395,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,110,150.0,156.42,5.7,5.7,-0.004,0,3,1,434,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,120,150.0,152.41,9.95,9.95,0.048,0,3,1,471,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,130,150.0,152.41,7.58,7.58,0.02,0,3,1,509,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,140,150.0,149.73,9.83,9.83,0.047,0,3,1,546,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,150,150.0,151.07,7.46,7.46,0.018,0,3,1,584,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,160,150.0,149.73,9.71,9.71,0.046,0,3,1,621,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,170,150.0,151.07,7.34,7.34,0.017,0,3,1,659,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,180,150.0,149.73,9.59,9.59,0.045,0,3,1,696,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,190,150.0,151.07,7.22,7.22,0.016,0,3,1,734,0,0.01,PASS (Latched in FAULT; output=0)
TEST1_ESTOP,200,150.0,149.73,9.47,9.47,0.044,0,3,1,771,0,0.01,PASS (Latched in FAULT; output=0)
